"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,4_3_2_1_0,328.636,165
5,10,4_3_2_1_0,328.636,626
5,15,2_3_0_1_4,319.545,212
5,20,2_3_0_1_4,319.545,1000
5,25,4_3_0_1_2,310.818,1
5,30,4_3_0_1_2,310.818,1
10,5,4_3_2_1_0,328.636,110
10,10,4_3_0_1_2,310.818,5
10,15,4_3_2_1_0,328.636,200
10,20,4_3_2_1_0,328.636,261
10,25,4_3_0_1_2,310.818,2
10,30,4_3_2_1_0,328.636,1000
15,5,4_3_2_1_0,328.636,241
15,10,4_3_2_1_0,328.636,115
15,15,4_3_0_1_2,310.818,5
15,20,4_3_2_1_0,328.636,215
15,25,4_3_2_1_0,328.636,163
15,30,4_3_2_1_0,328.636,404
20,5,4_3_2_1_0,328.636,311
20,10,4_3_2_1_0,328.636,161
20,15,4_3_2_1_0,328.636,93
20,20,4_3_2_1_0,328.636,158
20,25,4_3_2_1_0,328.636,183
20,30,4_3_2_1_0,328.636,203
25,5,4_3_2_1_0,328.636,510
25,10,4_3_2_1_0,328.636,148
25,15,4_3_2_1_0,328.636,134
25,20,4_3_2_1_0,328.636,112
25,25,4_3_0_1_2,310.818,4
25,30,4_3_2_1_0,328.636,178
30,5,4_3_2_1_0,328.636,601
30,10,4_3_2_1_0,328.636,163
30,15,4_3_2_1_0,328.636,117
30,20,4_3_2_1_0,328.636,111
30,25,4_3_0_1_2,310.818,5
30,30,4_3_2_1_0,328.636,144
