"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,4_3_2_1_0,328.636,159
5,10,4_3_2_1_0,328.636,64
5,15,4_3_2_1_4,310.192,18
5,20,4_0_3_1_2,291.488,3
5,25,1_3_2_4_1,298.549,3
5,30,4_3_2_1_2,304.721,18
10,5,0_3_2_1_4,327.082,89
10,10,4_3_2_1_0,328.636,245
10,15,4_3_2_1_0,328.636,229
10,20,4_3_2_1_0,328.636,420
10,25,4_3_2_1_0,328.636,294
10,30,0_3_2_1_4,327.082,802
15,5,4_3_2_1_0,328.636,352
15,10,4_3_2_1_0,328.636,194
15,15,4_3_2_1_0,328.636,207
15,20,4_3_2_1_0,328.636,166
15,25,4_3_2_1_0,328.636,183
15,30,4_3_2_1_0,328.636,708
20,5,4_3_2_1_0,328.636,403
20,10,4_3_2_1_0,328.636,214
20,15,4_3_2_1_0,328.636,192
20,20,4_3_2_1_0,328.636,218
20,25,4_3_2_1_0,328.636,197
20,30,4_3_2_1_0,328.636,196
25,5,4_3_2_1_0,328.636,596
25,10,4_3_2_1_0,328.636,267
25,15,4_3_2_1_0,328.636,195
25,20,4_3_2_1_0,328.636,221
25,25,4_3_2_1_0,328.636,192
25,30,4_3_2_1_0,328.636,172
30,5,4_3_2_1_0,328.636,790
30,10,4_3_2_1_0,328.636,333
30,15,4_3_2_1_0,328.636,250
30,20,4_3_2_1_0,328.636,231
30,25,4_3_2_1_0,328.636,172
30,30,4_3_2_1_0,328.636,162
