population_multiplier,offsprings_multiplier,result,reward,convergence_iter
5,5,8_20_3_28_28_6_9_14_10_17_22_11_4_15_12_20_27_25_29_21_13_24_2_7_23_16_19_26_0_18,1780.129,10000
5,10,25_11_6_15_28_0_24_16_28_17_23_3_4_7_12_20_27_9_14_20_13_8_19_2_26_21_9_22_29_18,1766.597,10000
5,15,26_13_6_15_14_24_9_16_28_25_18_11_4_2_0_20_18_20_29_17_7_8_19_22_23_21_15_28_12_3,1704.879,10000
5,20,27_18_17_18_15_12_11_26_6_22_29_2_12_7_0_20_1_3_20_8_23_28_29_24_9_8_19_3_19_16,1479.379,8239
10,5,8_13_6_4_28_24_2_16_20_17_0_11_21_15_12_20_27_9_14_10_7_3_19_22_29_23_21_26_28_18,1757.665,10000
10,10,3_13_5_15_28_24_9_0_28_17_23_11_4_2_6_20_27_18_29_1_7_8_19_22_20_21_18_26_16_12,1763.825,10000
10,15,3_11_27_13_15_24_0_16_28_9_23_14_4_2_6_20_3_25_29_17_7_8_19_22_20_21_28_26_12_18,1771.399,10000
10,20,28_11_21_15_24_6_9_16_28_17_22_8_4_2_12_20_27_3_29_19_13_10_14_7_20_23_7_26_0_18,1771.406,10000
15,5,0_11_27_15_4_6_9_28_22_17_23_8_21_2_10_20_3_18_14_20_13_24_19_7_29_16_7_26_28_12,1768.533,10000
15,10,3_11_14_15_28_6_9_16_28_17_22_8_21_7_12_20_27_7_29_20_13_24_19_2_23_10_15_26_0_18,1740.419,10000
15,15,26_11_21_4_28_24_9_0_28_17_5_14_29_15_6_20_27_3_29_20_7_8_19_2_23_16_25_22_12_18,1752.728,10000
15,20,26_11_6_13_2_24_9_16_28_17_10_14_4_15_0_20_27_25_29_20_7_8_19_3_23_18_21_22_28_12,1788.168,10000
20,5,0_20_3_13_6_24_9_16_28_27_22_11_4_15_5_20_21_18_14_17_7_8_19_2_29_23_18_26_28_12,1767.048,10000
20,10,26_11_14_15_20_24_9_0_28_27_10_3_4_2_12_20_6_25_29_17_13_8_22_7_23_16_19_21_28_18,1785.878,10000
20,15,5_13_3_20_24_6_2_0_28_17_1_11_4_15_12_20_27_9_14_19_23_8_16_7_26_21_28_22_29_18,1781.632,10000
20,20,0_11_21_13_28_24_9_16_22_17_5_14_4_15_6_20_27_18_2_20_3_8_19_7_29_23_15_26_28_12,1770.129,10000
