result,reward,convergence_iter
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,2502
19_6_17_10_3_18_16_1_13_12_5_4_0_15_11_2_8_7_9_14,906.868,59
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,66
11_6_2_9_3_18_5_13_10_12_15_4_19_0_1_17_8_7_16_14,944.187,4200
19_6_17_18_3_10_16_11_14_12_5_4_0_15_1_2_8_7_9_13,895.281,58
19_6_17_10_3_18_5_11_13_12_16_4_0_15_1_2_8_7_9_14,911.682,116
19_1_2_9_3_18_5_13_10_6_16_4_14_0_11_17_8_7_15_12,952.346,2202
19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,42
19_6_17_10_3_18_16_1_14_12_5_4_0_15_11_2_8_7_9_13,899.280,53
19_1_17_9_16_18_5_13_10_6_3_4_14_0_11_2_8_7_15_12,948.684,3085
