result,reward,convergence_iter
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,73
19_6_17_10_3_18_5_11_13_12_16_4_0_15_1_2_8_7_9_14,911.682,131
19_6_2_9_16_18_5_13_10_12_3_4_14_0_11_17_8_7_15_1,952.806,8166
13_6_17_10_3_18_5_11_14_12_16_4_0_15_1_2_8_7_9_19,896.559,57
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,6888
11_6_2_9_16_18_5_1_10_0_3_4_13_15_14_17_8_7_19_12,943.463,10000
11_6_17_9_15_18_5_13_10_12_3_4_14_0_1_2_8_7_19_16,946.210,5070
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,4096
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,94
19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0,903.932,38
