result,reward,convergence_iter
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_17_16,938.656,1593
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,3600
19_1_5_9_17_2_3_13_10_6_18_12_14_4_11_15_8_0_7_16,948.342,1733
19_0_5_11_4_2_13_1_10_15_3_12_14_18_17_6_8_9_7_16,895.464,44
19_0_5_11_18_2_14_13_10_15_3_12_14_4_17_6_8_7_9_16,892.960,43
19_0_5_11_4_2_1_13_10_15_3_12_14_9_17_6_18_8_7_16,889.030,25
19_1_5_18_17_2_3_13_10_0_4_12_14_9_11_6_8_7_15_16,949.480,2164
19_0_5_11_4_2_1_13_10_15_3_12_14_18_9_6_8_7_17_16,909.041,56
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,4139
19_1_5_9_18_2_4_13_10_6_3_12_14_0_11_17_8_7_15_16,951.467,917
