result,reward,convergence_iter
19_7_5_9_1_2_3_13_10_0_17_12_18_4_11_6_8_14_15_16,949.660,6571
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,9539
19_0_5_11_4_2_9_1_10_15_3_12_14_8_17_6_18_13_7_16,884.122,35
19_0_5_11_4_2_18_1_10_15_3_12_14_8_17_6_9_13_7_16,886.971,36
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,9875
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_16_17,938.690,4033
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,10000
19_1_5_9_15_2_3_13_10_6_18_12_14_4_11_17_8_0_7_16,950.667,10000
19_1_5_8_18_2_3_13_10_6_4_12_14_0_11_17_9_7_15_16,948.467,6236
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,10000
