result,reward,convergence_iter
6_1_5_8_18_2_0_17_10_12_4_19_13_9_11_3_14_7_15_16,945.548,10000
19_1_5_9_18_3_2_10_7_6_17_12_13_4_11_14_8_0_15_16,952.743,10000
2_1_17_9_15_3_5_10_7_12_18_19_13_4_11_6_8_0_16_14,957.366,10000
18_6_11_9_1_2_5_13_10_12_3_19_14_0_4_17_8_7_15_16,954.871,10000
11_1_2_8_18_3_5_10_7_12_17_19_13_9_4_6_14_0_15_16,955.313,10000
2_8_17_9_15_10_5_1_7_12_3_18_13_0_4_6_14_19_16_11,949.261,10000
11_6_5_9_1_18_2_8_10_12_3_19_13_4_7_17_14_0_15_16,951.999,10000
2_1_11_8_0_18_3_10_7_12_17_19_13_9_4_6_14_5_15_16,950.269,10000
2_7_17_9_1_19_3_8_10_0_18_12_13_4_11_6_14_5_15_16,948.896,10000
18_8_5_9_1_3_4_13_10_6_7_19_2_12_11_17_14_0_15_16,947.419,10000
