result,reward,convergence_iter
18_1_7_9_15_2_5_17_10_12_3_19_13_4_11_6_14_0_16_8,955.818,10000
11_1_2_9_4_3_5_17_10_12_18_19_13_0_14_6_8_7_15_16,954.372,10000
2_1_5_9_4_18_3_8_10_0_17_19_13_12_11_6_14_7_15_16,952.921,10000
11_7_5_9_3_18_2_8_10_19_17_12_13_4_16_6_14_0_15_1,946.544,10000
19_8_2_9_1_3_5_17_10_12_7_18_13_4_11_6_14_0_15_16,955.533,10000
2_1_5_9_17_10_3_13_7_19_18_12_14_4_11_6_8_0_15_16,951.784,10000
2_1_17_8_15_18_5_10_7_19_3_12_13_9_11_6_14_0_16_4,951.145,10000
2_6_5_9_1_10_3_18_7_12_4_19_13_0_11_17_8_14_15_16,953.492,10000
2_1_5_8_15_18_3_10_7_12_17_19_13_4_11_6_9_0_16_14,951.395,10000
15_8_5_9_1_2_3_13_10_6_7_12_18_4_11_17_14_0_19_16,946.154,10000
