i_iter,reward,result
1,737.52,10_12_6_5_19_2_16_11_17_4_7_15_14_14_5_15_19_8_13_18
2,737.52,10_12_6_5_19_2_16_11_17_4_7_15_14_14_5_15_19_8_13_18
3,737.52,10_12_6_5_19_2_16_11_17_4_7_15_14_14_5_15_19_8_13_18
4,760.02,0_11_16_2_1_3_9_19_4_1_10_6_5_16_13_8_14_9_17_12
5,760.02,0_11_16_2_1_3_9_19_4_1_10_6_5_16_13_8_14_9_17_12
6,760.02,0_11_16_2_1_3_9_19_4_1_10_6_5_16_13_8_14_9_17_12
7,760.02,0_11_16_2_1_3_9_19_4_1_10_6_5_16_13_8_14_9_17_12
8,760.70,8_11_14_3_8_19_12_5_9_5_10_18_2_11_5_2_4_13_7_17
9,760.70,8_11_14_3_8_19_12_5_9_5_10_18_2_11_5_2_4_13_7_17
10,760.70,8_11_14_3_8_19_12_5_9_5_10_18_2_11_5_2_4_13_7_17
11,760.70,8_11_14_3_8_19_12_5_9_5_10_18_2_11_5_2_4_13_7_17
12,797.83,13_10_9_0_3_16_1_11_14_19_12_4_2_15_1_8_5_7_5_17
13,797.83,13_10_9_0_3_16_1_11_14_19_12_4_2_15_1_8_5_7_5_17
14,797.83,13_10_9_0_3_16_1_11_14_19_12_4_2_15_1_8_5_7_5_17
15,797.83,13_10_9_0_3_16_1_11_14_19_12_4_2_15_1_8_5_7_5_17
16,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
17,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
18,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
19,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
20,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
21,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
22,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
23,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
24,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
25,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
26,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
27,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
28,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
29,800.06,3_6_11_19_13_19_13_12_8_11_10_4_14_5_1_16_9_7_17_2
30,821.34,13_6_0_9_3_2_5_11_7_17_10_4_8_6_1_16_12_12_14_14
31,821.34,13_6_0_9_3_2_5_11_7_17_10_4_8_6_1_16_12_12_14_14
32,821.34,13_6_0_9_3_2_5_11_7_17_10_4_8_6_1_16_12_12_14_14
33,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
34,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
35,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
36,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
37,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
38,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
39,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
40,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
41,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
42,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
43,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
44,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
45,832.18,14_8_0_16_9_8_2_13_3_17_10_12_5_10_17_7_1_6_18_11
46,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
47,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
48,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
49,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
50,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
51,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
52,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
53,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
54,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
55,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
56,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
57,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
58,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
59,835.01,13_3_7_18_16_2_5_11_7_17_10_19_0_9_1_15_12_12_8_14
60,844.22,14_8_0_16_9_2_17_13_3_5_10_12_5_10_1_7_18_6_18_11
61,856.80,13_6_0_16_17_2_5_18_7_17_10_4_8_9_1_2_12_3_14_11
62,856.80,13_6_0_16_17_2_5_18_7_17_10_4_8_9_1_2_12_3_14_11
63,856.80,13_6_0_16_17_2_5_18_7_17_10_4_8_9_1_2_12_3_14_11
64,856.80,13_6_0_16_17_2_5_18_7_17_10_4_8_9_1_2_12_3_14_11
65,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
66,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
67,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
68,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
69,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
70,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
71,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
72,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
73,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
74,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
75,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
76,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
77,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
78,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
79,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
80,874.26,17_7_11_16_1_3_2_13_8_4_10_14_5_0_1_9_19_6_18_12
81,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
82,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
83,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
84,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
85,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
86,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
87,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
88,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
89,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
90,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
91,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
92,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
93,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
94,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
95,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
96,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
97,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
98,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
99,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
100,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
101,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
102,877.82,13_6_17_12_19_18_5_11_8_0_10_4_9_15_1_2_16_7_2_14
