i_iter,reward,result
1,765.76,6_18_14_11_13_8_10_18_10_9_10_5_2_7_13_17_4_5_16_12
2,765.76,6_18_14_11_13_8_10_18_10_9_10_5_2_7_13_17_4_5_16_12
3,765.76,6_18_14_11_13_8_10_18_10_9_10_5_2_7_13_17_4_5_16_12
4,772.30,6_18_7_11_13_8_13_18_11_9_10_5_2_7_14_17_4_5_16_12
5,772.30,6_18_7_11_13_8_13_18_11_9_10_5_2_7_14_17_4_5_16_12
6,776.72,5_11_13_0_16_17_14_17_10_12_9_4_18_15_1_2_0_7_8_1
7,776.72,5_11_13_0_16_17_14_17_10_12_9_4_18_15_1_2_0_7_8_1
8,804.28,3_8_10_16_18_9_2_13_7_18_10_12_11_9_0_14_10_6_17_5
9,804.28,3_8_10_16_18_9_2_13_7_18_10_12_11_9_0_14_10_6_17_5
10,804.28,3_8_10_16_18_9_2_13_7_18_10_12_11_9_0_14_10_6_17_5
11,804.28,3_8_10_16_18_9_2_13_7_18_10_12_11_9_0_14_10_6_17_5
12,804.28,3_8_10_16_18_9_2_13_7_18_10_12_11_9_0_14_10_6_17_5
13,804.28,3_8_10_16_18_9_2_13_7_18_10_12_11_9_0_14_10_6_17_5
14,810.27,13_17_19_16_3_14_2_11_9_5_10_4_8_15_1_2_0_7_13_12
15,825.81,11_5_16_16_18_2_9_8_1_12_10_17_15_0_19_7_14_6_18_13
16,825.81,11_5_16_16_18_2_9_8_1_12_10_17_15_0_19_7_14_6_18_13
17,825.81,11_5_16_16_18_2_9_8_1_12_10_17_15_0_19_7_14_6_18_13
18,825.81,11_5_16_16_18_2_9_8_1_12_10_17_15_0_19_7_14_6_18_13
19,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
20,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
21,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
22,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
23,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
24,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
25,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
26,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
27,857.27,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_6
28,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
29,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
30,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
31,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
32,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
33,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
34,860.88,14_6_17_10_3_18_16_12_13_1_5_4_0_15_11_2_8_7_9_8
