i_iter,reward,result
1,779.89,7_9_6_4_12_11_3_2_18_14_12_19_10_5_0_13_1_16_10_8
2,779.89,7_9_6_4_12_11_3_2_18_14_12_19_10_5_0_13_1_16_10_8
3,779.89,7_9_6_4_12_11_3_2_18_14_12_19_10_5_0_13_1_16_10_8
4,779.89,7_9_6_4_12_11_3_2_18_14_12_19_10_5_0_13_1_16_10_8
5,779.89,7_9_6_4_12_11_3_2_18_14_12_19_10_5_0_13_1_16_10_8
6,804.08,19_8_5_0_4_2_15_6_10_17_7_1_0_18_13_3_9_12_13_16
7,804.08,19_8_5_0_4_2_15_6_10_17_7_1_0_18_13_3_9_12_13_16
8,807.20,19_0_5_11_7_2_1_13_10_6_3_12_14_16_5_18_6_9_17_16
9,807.20,19_0_5_11_7_2_1_13_10_6_3_12_14_16_5_18_6_9_17_16
10,807.20,19_0_5_11_7_2_1_13_10_6_3_12_14_16_5_18_6_9_17_16
11,807.20,19_0_5_11_7_2_1_13_10_6_3_12_14_16_5_18_6_9_17_16
12,820.77,19_10_5_8_7_2_12_13_10_6_3_1_14_7_18_0_8_9_3_16
13,820.77,19_10_5_8_7_2_12_13_10_6_3_1_14_7_18_0_8_9_3_16
14,840.90,19_0_5_8_9_2_11_18_10_5_3_12_14_13_18_17_8_7_6_16
15,840.90,19_0_5_8_9_2_11_18_10_5_3_12_14_13_18_17_8_7_6_16
16,840.90,19_0_5_8_9_2_11_18_10_5_3_12_14_13_18_17_8_7_6_16
17,840.90,19_0_5_8_9_2_11_18_10_5_3_12_14_13_18_17_8_7_6_16
18,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
19,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
20,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
21,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
22,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
23,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
24,850.57,19_10_5_8_13_2_12_17_10_6_3_1_14_7_18_0_8_9_3_16
25,856.82,19_10_5_8_13_2_12_17_10_6_18_1_14_7_3_0_8_9_3_16
26,858.95,19_0_5_11_13_2_4_1_10_9_18_12_14_7_17_6_2_8_7_16
27,858.95,19_0_5_11_13_2_4_1_10_9_18_12_14_7_17_6_2_8_7_16
28,858.95,19_0_5_11_13_2_4_1_10_9_18_12_14_7_17_6_2_8_7_16
29,858.95,19_0_5_11_13_2_4_1_10_9_18_12_14_7_17_6_2_8_7_16
30,867.67,19_18_5_11_8_2_0_0_10_9_3_12_14_7_17_6_8_13_15_16
31,867.67,19_18_5_11_8_2_0_0_10_9_3_12_14_7_17_6_8_13_15_16
32,867.67,19_18_5_11_8_2_0_0_10_9_3_12_14_7_17_6_8_13_15_16
33,867.67,19_18_5_11_8_2_0_0_10_9_3_12_14_7_17_6_8_13_15_16
34,867.67,19_18_5_11_8_2_0_0_10_9_3_12_14_7_17_6_8_13_15_16
35,867.67,19_18_5_11_8_2_0_0_10_9_3_12_14_7_17_6_8_13_15_16
36,876.33,19_0_5_11_4_2_1_13_10_15_3_12_14_9_17_6_8_6_7_16
37,878.11,19_0_5_11_4_2_1_13_10_15_3_12_14_9_17_6_8_14_7_16
