i_iter,reward,result
1,747.81,7_4_5_5_6_15_17_13_12_8_2_14_0_11_10_18_3_11_15_1
2,761.61,2_12_5_10_12_8_0_12_6_16_1_13_8_14_3_6_9_11_17_15
3,761.61,2_12_5_10_12_8_0_12_6_16_1_13_8_14_3_6_9_11_17_15
4,778.55,19_12_5_10_12_18_0_12_6_2_1_13_8_14_3_6_9_11_17_15
5,782.24,19_17_5_15_13_2_9_9_10_16_3_17_14_12_6_0_11_7_13_16
6,782.24,19_17_5_15_13_2_9_9_10_16_3_17_14_12_6_0_11_7_13_16
7,806.96,19_0_5_8_11_2_6_12_10_17_3_12_14_9_14_15_4_13_6_16
8,807.02,19_0_5_11_18_2_8_17_10_2_3_12_14_6_13_0_19_7_6_16
9,828.80,19_0_5_11_1_2_6_17_10_7_3_7_14_12_13_11_5_8_18_16
10,828.80,19_0_5_11_1_2_6_17_10_7_3_7_14_12_13_11_5_8_18_16
11,828.80,19_0_5_11_1_2_6_17_10_7_3_7_14_12_13_11_5_8_18_16
12,828.80,19_0_5_11_1_2_6_17_10_7_3_7_14_12_13_11_5_8_18_16
13,839.54,19_0_5_11_6_2_8_13_10_1_3_12_14_17_1_7_12_18_8_16
14,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
15,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
16,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
17,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
18,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
19,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
20,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
21,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
22,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
23,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
24,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
25,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
26,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
27,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
28,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
29,879.07,19_0_5_11_4_2_8_13_10_15_3_12_14_8_17_6_18_9_7_16
30,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
31,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
32,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
33,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
34,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
35,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
36,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
37,884.69,19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16
