i_iter,reward,result
1,773.77,8_1_2_7_0_18_12_10_13_17_15_11_6_6_7_5_13_19_9_5
2,773.77,8_1_2_7_0_18_12_10_13_17_15_11_6_6_7_5_13_19_9_5
3,773.77,8_1_2_7_0_18_12_10_13_17_15_11_6_6_7_5_13_19_9_5
4,773.77,8_1_2_7_0_18_12_10_13_17_15_11_6_6_7_5_13_19_9_5
5,778.08,14_2_15_10_5_16_12_8_8_1_19_7_13_14_13_17_9_3_5_11
6,778.08,14_2_15_10_5_16_12_8_8_1_19_7_13_14_13_17_9_3_5_11
7,785.13,18_7_2_19_17_11_7_6_12_1_9_0_8_5_16_3_19_4_10_13
8,785.13,18_7_2_19_17_11_7_6_12_1_9_0_8_5_16_3_19_4_10_13
9,785.13,18_7_2_19_17_11_7_6_12_1_9_0_8_5_16_3_19_4_10_13
10,785.13,18_7_2_19_17_11_7_6_12_1_9_0_8_5_16_3_19_4_10_13
11,785.13,18_7_2_19_17_11_7_6_12_1_9_0_8_5_16_3_19_4_10_13
12,785.13,18_7_2_19_17_11_7_6_12_1_9_0_8_5_16_3_19_4_10_13
13,799.61,6_8_19_17_7_16_12_0_9_1_2_10_13_11_3_15_6_13_5_14
14,801.73,16_14_9_13_6_8_18_17_7_8_0_10_19_2_11_12_5_2_13_15
15,801.73,16_14_9_13_6_8_18_17_7_8_0_10_19_2_11_12_5_2_13_15
16,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
17,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
18,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
19,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
20,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
21,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
22,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
23,820.56,10_5_3_17_9_2_0_8_7_16_18_19_17_0_14_13_10_11_16_12
24,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
25,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
26,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
27,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
28,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
29,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
30,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
31,850.05,11_5_3_15_5_2_0_8_7_14_18_19_17_0_9_13_10_1_16_12
