i_iter,reward,result
1,731.32,10_17_11_17_13_5_12_1_14_19_11_5_19_1_2_0_8_18_15_3
2,737.10,10_8_3_2_17_3_15_13_7_5_2_18_6_0_12_10_12_19_14_13
3,737.10,10_8_3_2_17_3_15_13_7_5_2_18_6_0_12_10_12_19_14_13
4,737.10,10_8_3_2_17_3_15_13_7_5_2_18_6_0_12_10_12_19_14_13
5,756.98,2_14_17_14_12_5_9_8_15_11_7_19_4_10_18_0_5_6_9_16
6,756.98,2_14_17_14_12_5_9_8_15_11_7_19_4_10_18_0_5_6_9_16
7,777.48,7_0_13_16_0_7_3_10_8_2_11_2_6_13_9_12_8_14_17_5
8,777.48,7_0_13_16_0_7_3_10_8_2_11_2_6_13_9_12_8_14_17_5
9,777.48,7_0_13_16_0_7_3_10_8_2_11_2_6_13_9_12_8_14_17_5
10,777.48,7_0_13_16_0_7_3_10_8_2_11_2_6_13_9_12_8_14_17_5
11,777.48,7_0_13_16_0_7_3_10_8_2_11_2_6_13_9_12_8_14_17_5
12,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
13,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
14,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
15,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
16,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
17,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
18,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
19,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
20,803.46,19_19_9_0_1_10_18_8_6_12_19_14_13_2_3_5_2_16_17_7
21,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
22,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
23,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
24,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
25,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
26,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
27,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
28,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
29,828.69,16_4_3_19_13_17_2_8_9_10_5_10_11_12_6_13_0_18_7_14
